VehicleType,Total,Percent,Year
PassengerCars,21273,40,2017
LightTrucks,20015,37.7,2017
LargeTrucks,4805,9,2017
Motorcycles,5381,10.1,2017
Buses,234,0.4,2017
Other/Unknown,1420,2.7,2017
