VehicleType,Total,Percent,Year
PassengerCars,21077,40,2016
LightTrucks,19920,37.8,2016
LargeTrucks,4562,8.7,2016
Motorcycles,5467,10.4,2016
Buses,234,0.4,2016
Other/Unknown,1454,2.8,2016
