AGE,PER_NO,SEX,STATE,ST_CASE,YEAR
28,1,1,1,10004,2019
79,1,2,1,10010,2019
74,1,1,1,10012,2019
63,1,2,1,10013,2019
24,1,1,1,10014,2019
43,1,2,1,10018,2019
33,1,2,1,10046,2019
57,1,1,1,10047,2019
42,1,1,1,10051,2019
24,1,2,1,10054,2019
71,1,1,1,10064,2019
20,1,1,1,10079,2019
34,1,2,1,10082,2019
22,1,2,1,10089,2019
54,1,1,1,10094,2019
65,1,2,1,10101,2019
34,1,1,1,10102,2019
65,1,1,1,10106,2019
51,1,1,1,10110,2019
32,1,2,1,10122,2019
57,2,1,1,10126,2019
54,1,1,1,10138,2019
46,1,2,1,10158,2019
43,1,2,1,10178,2019
61,1,1,1,10185,2019
49,1,2,1,10190,2019
56,1,1,1,10192,2019
22,1,1,1,10196,2019
19,1,1,1,10198,2019
65,1,1,1,10200,2019
58,1,1,1,10209,2019
36,1,1,1,10217,2019
42,1,1,1,10235,2019
35,1,1,1,10242,2019
63,1,1,1,10248,2019
36,1,1,1,10251,2019
38,1,1,1,10257,2019
40,1,1,1,10264,2019
60,1,1,1,10265,2019
64,1,1,1,10302,2019
45,1,1,1,10310,2019
81,1,1,1,10317,2019
58,1,1,1,10339,2019
66,1,1,1,10346,2019
19,1,1,1,10350,2019
65,1,1,1,10357,2019
66,1,1,1,10368,2019
54,1,1,1,10369,2019
41,1,1,1,10371,2019
48,1,2,1,10373,2019
40,1,1,1,10375,2019
55,1,1,1,10397,2019
59,1,2,1,10409,2019
42,1,1,1,10414,2019
39,1,2,1,10425,2019
60,1,1,1,10428,2019
46,1,1,1,10435,2019
53,1,1,1,10438,2019
57,1,1,1,10443,2019
62,1,2,1,10446,2019
39,1,2,1,10447,2019
30,1,2,1,10450,2019
38,1,1,1,10457,2019
39,1,1,1,10460,2019
42,1,1,1,10465,2019
70,1,1,1,10466,2019
33,1,2,1,10471,2019
18,1,2,1,10475,2019
52,1,1,1,10476,2019
35,1,1,1,10481,2019
42,1,1,1,10485,2019
50,1,1,1,10492,2019
43,1,1,1,10508,2019
34,1,1,1,10516,2019
39,1,1,1,10531,2019
57,1,1,1,10534,2019
