AGE,PER_NO,SEX,STATE,ST_CASE,YEAR
38,1,1,1,10006,2018
19,1,2,1,10007,2018
23,1,1,1,10008,2018
46,1,1,1,10010,2018
91,1,1,1,10017,2018
50,1,1,1,10027,2018
61,1,2,1,10032,2018
58,1,2,1,10034,2018
60,1,1,1,10055,2018
23,1,1,1,10061,2018
49,1,2,1,10077,2018
37,1,2,1,10080,2018
30,1,1,1,10094,2018
78,1,1,1,10103,2018
41,1,2,1,10113,2018
48,1,1,1,10115,2018
30,1,1,1,10125,2018
22,1,2,1,10141,2018
25,1,2,1,10142,2018
49,1,1,1,10143,2018
67,1,1,1,10144,2018
81,1,1,1,10146,2018
23,1,1,1,10152,2018
26,1,1,1,10160,2018
67,1,1,1,10162,2018
74,1,1,1,10168,2018
34,1,1,1,10186,2018
8,1,2,1,10216,2018
56,1,1,1,10225,2018
30,1,2,1,10278,2018
18,1,2,1,10280,2018
38,1,1,1,10302,2018
0,1,1,1,10313,2018
2,1,1,1,10317,2018
52,1,1,1,10328,2018
45,1,2,1,10343,2018
63,1,2,1,10358,2018
71,1,1,1,10372,2018
47,1,1,1,10376,2018
18,1,1,1,10389,2018
34,1,1,1,10395,2018
62,1,1,1,10406,2018
42,1,1,1,10408,2018
35,1,2,1,10410,2018
30,1,1,1,10423,2018
41,1,2,1,10424,2018
23,1,1,1,10426,2018
62,1,1,1,10428,2018
46,1,1,1,10436,2018
54,1,1,1,10457,2018
5,1,2,1,10458,2018
2,1,1,1,10481,2018
36,1,1,1,10482,2018
39,1,1,1,10503,2018
45,1,1,1,10504,2018
38,1,1,1,10508,2018
52,1,1,1,10525,2018
70,1,2,1,10529,2018
44,1,1,1,10537,2018
21,1,2,1,10555,2018
57,1,1,1,10558,2018
23,1,1,1,10563,2018
60,1,2,1,10564,2018
20,1,1,1,10571,2018
7,1,1,1,10584,2018
19,1,1,1,10601,2018
28,1,1,1,10625,2018
32,1,2,1,10637,2018
46,1,1,1,10653,2018
24,1,1,1,10654,2018
53,1,1,1,10660,2018
62,1,2,1,10668,2018
41,1,2,1,10669,2018
74,1,2,1,10675,2018
34,1,1,1,10683,2018
42,1,1,1,10693,2018
54,1,1,1,10706,2018
35,1,1,1,10708,2018
34,1,1,1,10716,2018
45,1,1,1,10725,2018
56,1,2,1,10728,2018
60,1,1,1,10740,2018
21,1,1,1,10743,2018
35,1,2,1,10746,2018
79,1,1,1,10748,2018
27,1,1,1,10751,2018
56,1,1,1,10756,2018
12,1,2,1,10759,2018
29,1,1,1,10767,2018
35,1,1,1,10771,2018
15,1,2,1,10773,2018
87,1,1,1,10776,2018
63,1,1,1,10778,2018
23,1,2,1,10791,2018
61,1,1,1,10793,2018
43,1,2,1,10794,2018
57,1,2,1,10813,2018
56,1,1,1,10822,2018
23,1,1,1,10824,2018
59,1,1,1,10830,2018
50,1,1,1,10834,2018
63,1,1,1,10862,2018
50,1,2,1,10863,2018
21,1,1,1,10867,2018
32,1,1,1,10874,2018
57,1,1,1,10879,2018
65,1,1,1,10882,2018
65,1,1,2,20010,2018
31,1,2,2,20013,2018
23,1,2,2,20019,2018
43,1,1,2,20020,2018
23,1,2,2,20027,2018
36,1,1,2,20039,2018
58,1,1,2,20044,2018
62,1,1,2,20047,2018
58,1,1,2,20057,2018
42,1,2,2,20060,2018
35,1,2,2,20062,2018
25,1,2,2,20065,2018
74,1,1,2,20066,2018
38,1,1,2,20069,2018
62,1,1,4,40005,2018
44,1,2,4,40009,2018
38,1,2,4,40018,2018
32,1,2,4,40024,2018
44,1,2,4,40025,2018
19,1,1,4,40039,2018
68,1,1,4,40040,2018
72,1,2,4,40042,2018
66,1,2,4,40045,2018
35,1,1,4,40046,2018
49,1,1,4,40048,2018
15,1,2,4,40061,2018
28,1,2,4,40063,2018
20,1,2,4,40068,2018
66,1,2,4,40069,2018
49,1,1,4,40070,2018
56,1,2,4,40071,2018
51,1,1,4,40077,2018
87,1,1,4,40079,2018
13,1,2,4,40080,2018
42,1,2,4,40082,2018
65,1,2,4,40095,2018
61,1,2,4,40096,2018
64,1,1,4,40098,2018
21,1,1,4,40101,2018
32,1,1,4,40104,2018
30,1,1,4,40116,2018
31,1,2,4,40119,2018
48,1,1,4,40128,2018
30,1,2,4,40138,2018
42,1,1,4,40143,2018
20,1,1,4,40147,2018
57,1,1,4,40154,2018
48,1,2,4,40156,2018
26,1,1,4,40158,2018
22,1,1,4,40165,2018
54,1,2,4,40171,2018
44,1,1,4,40173,2018
