A_CT,A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_LT,A_MC,A_PED,A_PEDAL,A_PEDAL_F,A_PED_F,A_RD,A_RELRD,FATALS,SCH_BUS,STATE,STATENAME,ST_CASE,YEAR
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10063,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10064,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10065,2018
1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,4,1,0,1,Alabama,10066,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10067,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,0,1,Alabama,10068,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,0,1,Alabama,10069,2018
1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10070,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,0,1,Alabama,10071,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10072,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10073,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,0,1,Alabama,10074,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10075,2018
2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10076,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10077,2018
2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,0,1,Alabama,10078,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,1,Alabama,10079,2018
2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,0,1,Alabama,10080,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10081,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10082,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10083,2018
