A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_RELRD,A_RU,FATALS,SCH_BUS,STATE,ST_CASE,YEAR
2,2,2,2,2,2,2,4,2,1,0,1,10105,2015
2,2,2,2,2,2,2,4,1,1,0,1,10106,2015
2,2,2,2,2,2,2,1,1,1,0,1,10107,2015
2,2,2,2,2,2,2,1,2,1,0,1,10108,2015
2,2,2,2,1,1,2,1,1,1,0,1,10109,2015
2,2,2,2,2,2,2,4,1,1,0,1,10110,2015
2,2,2,2,1,1,2,4,1,1,0,1,10111,2015
2,2,2,2,2,2,2,4,1,1,0,1,10112,2015
2,2,2,2,2,2,2,1,2,1,0,1,10113,2015
2,2,2,2,2,2,2,1,2,1,0,1,10114,2015
2,2,2,2,2,2,2,1,1,1,0,1,10115,2015
2,2,2,2,2,2,2,1,1,1,0,1,10116,2015
2,2,2,2,1,1,2,1,1,1,0,1,10117,2015
2,2,2,2,2,2,2,4,2,1,0,1,10118,2015
2,2,2,2,1,1,1,1,1,1,0,1,10119,2015
2,2,2,2,2,2,2,1,1,1,0,1,10120,2015
2,2,2,2,1,1,2,1,2,1,0,1,10121,2015
2,2,2,2,2,2,2,4,1,1,0,1,10122,2015
2,2,2,2,2,2,1,1,1,1,0,1,10123,2015
2,2,2,2,2,2,2,1,2,1,0,1,10124,2015
1,1,1,1,1,2,2,4,1,2,0,1,10125,2015
2,2,2,2,2,2,2,1,1,1,0,1,10126,2015
2,2,2,2,1,1,1,1,1,2,0,1,10127,2015
2,2,2,2,2,2,2,1,1,1,0,1,10128,2015
2,2,2,2,1,1,2,1,1,1,0,1,10129,2015
2,2,2,2,2,2,2,1,2,1,0,1,10130,2015
2,2,2,2,2,2,2,1,1,1,0,1,10131,2015
2,2,2,2,2,2,2,1,2,1,0,1,10132,2015
2,2,2,2,2,2,2,1,1,1,0,1,10133,2015
1,1,1,1,1,2,2,1,1,1,0,1,10134,2015
2,2,2,2,2,2,2,1,1,1,0,1,10135,2015
2,2,2,2,1,1,2,4,1,1,0,1,10136,2015
2,2,2,2,1,1,2,1,2,1,0,1,10137,2015
1,1,1,1,1,2,1,1,2,1,0,1,10138,2015
2,2,2,2,1,1,2,1,2,1,0,1,10139,2015
2,2,2,2,2,2,2,1,1,1,0,1,10140,2015
2,2,2,2,1,1,2,1,1,1,0,1,10141,2015
2,2,2,2,2,2,2,4,1,2,0,1,10142,2015
2,1,2,1,1,2,2,1,2,1,0,1,10143,2015
2,2,2,2,2,2,2,1,2,1,0,1,10144,2015
2,2,2,2,2,2,2,1,2,1,0,1,10145,2015
2,2,2,2,2,2,2,1,1,1,0,1,10146,2015
2,2,2,2,2,2,2,1,1,1,0,1,10147,2015
2,2,2,2,2,2,2,4,1,1,0,1,10148,2015
2,2,2,2,2,2,2,4,1,1,0,1,10149,2015
2,2,2,2,2,2,1,1,1,1,0,1,10150,2015
2,2,2,2,2,2,1,4,1,1,0,1,10151,2015
2,2,2,2,2,2,2,1,1,1,0,1,10152,2015
2,2,2,2,1,1,1,1,1,1,0,1,10153,2015
2,2,2,2,2,2,2,4,2,1,0,1,10154,2015
2,2,2,2,1,1,2,4,2,1,0,1,10155,2015
2,2,2,2,2,2,2,4,2,1,0,1,10156,2015
2,2,2,2,2,2,2,3,2,1,0,1,10157,2015
1,1,1,1,1,2,2,1,1,1,0,1,10158,2015
2,2,2,2,2,2,2,4,1,1,0,1,10159,2015
2,2,2,2,2,2,2,1,2,1,0,1,10160,2015
2,2,2,2,2,2,1,1,2,1,0,1,10161,2015
2,2,2,2,2,2,2,1,2,1,0,1,10162,2015
1,1,1,1,1,1,2,1,2,1,0,1,10163,2015
2,2,2,2,2,2,2,4,1,1,0,1,10164,2015
2,2,2,2,2,2,1,1,1,2,0,1,10165,2015
2,2,2,2,1,1,2,4,2,1,0,1,10166,2015
2,2,2,2,1,1,2,4,1,1,0,1,10167,2015
2,2,2,2,2,2,2,4,2,1,0,1,10168,2015
1,1,1,1,1,1,2,1,1,1,0,1,10169,2015
1,1,1,1,1,2,2,1,1,1,0,1,10170,2015
2,2,2,2,2,2,1,1,1,1,0,1,10171,2015
2,2,2,2,2,2,2,1,1,1,1,1,10172,2015
2,2,2,2,1,1,2,1,1,1,0,1,10173,2015
2,2,2,2,2,2,2,1,1,1,0,1,10174,2015
2,2,2,2,2,2,2,4,1,1,0,1,10175,2015
2,2,2,2,2,2,2,4,1,1,0,1,10176,2015
2,2,2,2,2,2,2,1,1,1,0,1,10177,2015
2,2,2,2,2,2,2,1,2,1,0,1,10178,2015
2,2,2,2,2,2,1,1,2,1,0,1,10179,2015
1,1,1,1,1,2,2,1,1,2,0,1,10180,2015
1,1,1,1,1,2,2,4,1,1,0,1,10181,2015
2,2,2,2,2,2,1,1,1,1,0,1,10182,2015
2,2,2,2,1,1,2,1,2,1,0,1,10183,2015
2,2,2,2,2,2,2,4,1,1,0,1,10184,2015
2,1,2,1,1,2,2,1,2,1,0,1,10185,2015
2,2,2,2,2,2,1,4,1,1,0,1,10186,2015
2,2,2,2,2,2,2,4,1,1,0,1,10187,2015
2,1,2,1,1,2,2,1,2,1,0,1,10188,2015
1,1,1,1,1,2,1,1,1,1,0,1,10189,2015
2,2,2,2,2,2,1,1,1,1,0,1,10190,2015
2,2,2,2,2,2,2,3,1,1,0,1,10191,2015
2,2,2,2,2,2,2,3,2,1,0,1,10192,2015
1,1,1,1,1,2,1,1,1,1,0,1,10193,2015
2,2,2,2,2,2,1,1,2,1,0,1,10194,2015
2,2,2,2,2,2,1,1,2,2,0,1,10195,2015
2,2,2,2,2,2,2,4,1,1,0,1,10196,2015
2,2,2,2,1,1,2,1,2,1,0,1,10197,2015
2,2,2,2,2,2,1,1,1,1,0,1,10198,2015
1,1,1,1,1,1,2,1,1,2,0,1,10199,2015
2,2,2,2,2,2,2,1,1,1,0,1,10200,2015
2,2,2,2,2,2,2,4,2,1,0,1,10201,2015
2,2,2,2,2,2,2,1,1,1,0,1,10202,2015
2,1,2,1,1,2,2,1,1,1,0,1,10203,2015
2,2,2,2,2,2,2,3,1,1,0,1,10204,2015
2,2,2,2,2,2,2,3,2,1,0,1,10205,2015
2,2,2,2,2,2,2,1,2,1,0,1,10206,2015
1,1,1,1,1,2,2,1,2,1,0,1,10207,2015
1,1,1,1,1,2,2,1,2,1,0,1,10208,2015
1,1,1,1,1,2,2,1,1,1,0,1,10209,2015
2,2,2,2,2,2,1,4,2,1,0,1,10210,2015
2,2,2,2,2,2,1,1,1,1,0,1,10211,2015
2,2,2,2,2,2,2,3,2,1,0,1,10212,2015
2,2,2,2,2,2,2,1,1,2,0,1,10213,2015
1,1,1,1,1,2,2,1,2,1,0,1,10214,2015
2,2,2,2,1,1,2,4,2,1,0,1,10215,2015
2,2,2,2,1,1,2,4,2,1,0,1,10216,2015
2,2,2,2,1,1,2,4,1,1,0,1,10217,2015
2,2,2,2,2,2,1,1,2,1,0,1,10218,2015
2,2,2,2,2,2,2,1,2,2,0,1,10219,2015
1,1,1,1,1,2,2,4,1,1,0,1,10220,2015
2,2,2,2,2,2,2,4,1,1,0,1,10221,2015
1,1,2,2,2,2,2,4,1,2,0,1,10222,2015
2,2,2,2,1,1,2,1,2,1,0,1,10223,2015
2,2,2,2,2,2,1,1,2,1,0,1,10224,2015
2,2,2,2,2,2,2,1,2,1,0,1,10225,2015
2,2,2,2,2,2,2,4,2,1,0,1,10226,2015
2,2,2,2,2,2,2,4,2,1,0,1,10227,2015
2,2,2,2,2,2,2,4,1,1,0,1,10228,2015
2,2,2,2,2,2,2,1,2,1,0,1,10229,2015
2,2,2,2,1,1,2,4,2,1,0,1,10230,2015
2,2,2,2,2,2,2,4,2,1,0,1,10231,2015
1,1,1,1,1,2,2,4,2,1,0,1,10232,2015
2,2,2,2,2,2,2,4,1,1,0,1,10233,2015
2,2,2,2,2,2,2,2,1,1,0,1,10234,2015
2,2,2,2,2,2,2,4,2,1,0,1,10235,2015
2,2,2,2,2,2,2,4,1,1,0,1,10236,2015
1,1,1,1,1,2,2,4,1,1,0,1,10237,2015
2,2,2,2,2,2,2,4,1,1,0,1,10238,2015
2,2,2,2,2,2,2,4,1,1,0,1,10239,2015
2,2,2,2,2,2,2,4,1,1,0,1,10240,2015
2,2,2,2,2,2,1,1,1,1,0,1,10241,2015
2,2,2,2,2,2,2,4,2,1,0,1,10242,2015
2,2,2,2,2,2,2,1,1,1,0,1,10243,2015
1,1,1,1,1,2,2,1,2,1,0,1,10244,2015
2,2,2,2,2,2,2,1,1,1,0,1,10245,2015
2,2,2,2,2,2,2,4,1,1,0,1,10246,2015
2,2,2,2,2,2,2,1,2,1,0,1,10247,2015
2,2,2,2,2,2,1,4,1,1,0,1,10248,2015
2,2,2,2,2,2,2,1,1,1,0,1,10249,2015
2,2,2,2,2,2,2,1,1,1,0,1,10250,2015
1,1,1,1,1,2,2,1,1,1,0,1,10251,2015
2,2,2,2,1,1,2,1,2,1,0,1,10252,2015
2,2,2,2,2,2,1,1,2,1,0,1,10253,2015
