VehicleType,Total,Percent,Year
PassengerCars,19582,38.2,2019
LightTrucks,19830,38.7,2019
LargeTrucks,5005,9.8,2019
Motorcycles,5114,10,2019
Buses,232,0.5,2019
Other/Unknown,1484,2.9,2019
